Timestamp,Genul,Nivelul de învățământ la care predați:,Disciplina / aria curriculară predată:,Vechimea în învățământ (ani):,Localitatea (oraș/sat):,Mă simt capabil(ă) să formulez prompturi clare și eficiente pentru diverse sarcini educaționale.,Înțeleg suficient de bine modul în care funcționează AI generativă pentru a o integra în predare.,Pot identifica situațiile didactice în care utilizarea AI generative ar putea îmbunătăți învățarea elevilor.,Mă simt pregătit(ă) să explic elevilor cum să utilizeze responsabil instrumente de AI generativă.,Pot evalua calitatea și acuratețea conținutului generat de un model de AI.,Pot adapta activități deja existente pentru a include utilizarea AI generative.,"Pot detecta erorile, biasurile și limitările instrumentelor de AI generativă atunci când lucrez cu acestea.",Sunt sigur(ă) că pot proiecta o lecție în care elevii folosesc AI generativă într-un mod productiv.,Mă simt încrezător/oare că pot preveni confuziile elevilor atunci când utilizează AI.,Pot gestiona situațiile în care elevii folosesc AI într-un mod neadecvat sau impropriu.,Sunt sigur(ă) că pot integra AI generativă astfel încât să sprijin dezvoltarea competențelor elevilor.,Pot răspunde eficient întrebărilor elevilor legate de funcționarea sau utilizarea AI generative.,Pot concepe activități de evaluare în care AI generativă este folosită corect și transparent.,"Dacă apar dificultăți tehnice sau pedagogice, mă simt capabil(ă) să găsesc soluții adecvate.",Utilizarea AI generative mă ajută să pregătesc mai rapid materialele pentru lecții.,Consider că AI generativă poate îmbunătăți calitatea explicațiilor și exemplelor oferite elevilor.,Activitățile cu AI generativă pot crește implicarea elevilor în învățare.,AI generativă poate sprijini diferențierea instruirii pentru elevii cu niveluri diferite.,Consider că AI generativă poate contribui la eficientizarea evaluării și feedbackului.,Utilizarea AI generative poate reduce volumul sarcinilor administrative ale profesorului.,Mi-e teamă că elevii ar putea folosi AI generativă pentru a trișa la teme sau evaluări.,Consider că instrumentele de AI generativă pot furniza informații inexacte sau eronate.,Sunt îngrijorat(ă) că utilizarea AI generative în clasă ar putea reduce motivația elevilor de a gândi autonom.,Există riscul ca elevii să devină prea dependenți de AI pentru sarcini simple.,Cred că AI generativă poate produce conținut cu bias sau stereotipuri.,Mi-e teamă că nu există suficiente reguli clare privind folosirea AI în școală.,Utilizarea AI generative ridică probleme legate de protecția datelor elevilor.,Cred că profesorii încă nu sunt pregătiți să gestioneze provocările etice ale AI generative.,Conducerea școlii mele sprijină inițiativele legate de utilizarea AI în educație.,În școala mea există o cultură care încurajează inovația și experimentarea cu tehnologii digitale.,Școala oferă informații sau orientări clare privind utilizarea AI cu elevii.,Pot primi sprijin tehnic sau pedagogic atunci când doresc să folosesc AI generativă în activitatea didactică.,Colegii mei sunt deschiși să discute și să împărtășească experiențe privind utilizarea AI.,Intenționez să folosesc AI generativă în lecțiile mele în următoarele 6 luni.,"Voi integra AI generativă în cel puțin o activitate didactică pe săptămână, dacă voi avea posibilitatea.",Voi încuraja elevii să folosească AI generativă în mod responsabil în activitățile lor școlare.,Vreau să experimentez și să învăț metode noi de integrare a AI generative în predare.,Sunt dispus(ă) să recomand colegilor mei utilizarea AI generative în activitatea didactică.,Descrieți o situație concretă în care ați utilizat sau ați fi dorit să utilizați AI generativă la clasă.,Care sunt principalele obstacole sau îngrijorări pe care le aveți privind utilizarea AI?,Ce tip de sprijin v-ar motiva să integrați AI generativă în activitățile cu elevii?
06/12/2025 09:34:51,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Română,Mai mult de 10 ani,Localitate urbană,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,produsul lecției/elevilor,timp,ora opțională/cercul
06/12/2025 09:34:52,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Biologia, Geografia",Mai mult de 10 ani,Localitate urbană,7 - În total acord,7 - În total acord,6,6,6,5,5,5,5,5,5,4,5,4,5,5,5,5,6,6,5,5,6,5,6,6,5,6,6,6,5,6,6,6,6,6,6,6,Evaluari,...,Salarii bune
06/12/2025 09:35:07,F,"Primar (clasele I-IV), Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Engleză,Mai mult de 10 ani,Localitate urbană,4,4,6,5,6,4,3,3,4,6,3,3,4,5,4,4,4,6,4,3,3,3,5,6,5,4,4,3,4,3,3,3,4,4,5,3,4,3,Planuiri diferentiate,Prea multe...greu de ales ,"Evaluarea, "
06/12/2025 09:36:29,M,Liceu (clasele X-XII),Limba Română,Mai mult de 10 ani,Localitate urbană,7 - În total acord,5,4,2,3,2,2,3,4,3,3,2,3,2,4,4,4,3,3,5,4,3,4,4,4,5,5,6,3,6,5,6,5,5,5,5,4,5,Doresc sa urilizez.,Necunoasterea,Cursuri
06/12/2025 09:38:07,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Română,Mai mult de 10 ani,Localitate urbană,5,5,5,4,4,4,3,3,2,2,3,3,3,3,5,6,6,6,6,4,5,4,4,6,5,4,5,6,7 - În total acord,7 - În total acord,6,5,7 - În total acord,7 - În total acord,7 - În total acord,6,6,7 - În total acord,"Proiecte de lecții, fișe",...,Motivare substanțială 
06/12/2025 09:38:16,F,Liceu (clasele X-XII),Matematica,Mai mult de 10 ani,Localitate urbană,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,"Crearea fișelor de lucru, atestelor.",Nu am.,Nu am nevoie
06/12/2025 09:39:48,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Matematica,Mai mult de 10 ani,Localitate rurală,7 - În total acord,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,5,6,6,6,6,6,5,6,5,6,4,3,7 - În total acord,5,6,7 - În total acord,7 - În total acord,7 - În total acord,La lecțiile de consolidare a materiei de studiu,Materialele generate de AI nu sunt mereu bune,"Suport tehnic, conexiune la internet"
06/12/2025 09:41:50,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Psiholog ,Mai mult de 10 ani,Localitate urbană,3,3,5,2,2,4,2,2,2,2,2,2,2,2,3,2,2,1 - În total dezacord,2,3,4,4,4,5,5,5,5,5,6,6,6,6,5,3,3,4,4,4,"Chestionar, psihoprofilaxie",Că nu mă voi putea descurca,Să fie accesibil pentru nivelul meu.
06/12/2025 09:44:01,F,Liceu (clasele X-XII),Geografia,Mai mult de 10 ani,Localitate urbană,7 - În total acord,7 - În total acord,7 - În total acord,5,6,6,6,5,4,4,6,4,6,6,7 - În total acord,6,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,6,6,3,5,5,5,7 - În total acord,6,6,6,5,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,"am creat fișe la ore , si teste formative pentru lecții, prezentări diferite","mu cunosc unele detalii noi actuale, sunt foarte multe aplicații",cursurile date sunt binevenite
06/12/2025 09:44:01,F,Gimnaziu (clasele V-IX),Limba Română,Mai mult de 10 ani,Localitate urbană,6,7 - În total acord,7 - În total acord,5,6,5,6,5,5,7 - În total acord,7 - În total acord,6,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,5,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,Am utilizat AI în cadrul orelor.,"De multe ori, a oferit informații eronate.","Cum să aplic AI în procesul educațional, ca să obținem rezultate eficiente în educație."
06/12/2025 09:47:49,F,"Primar (clasele I-IV), Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Engleză,Mai mult de 10 ani,Localitate urbană,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7 - În total acord,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,5,5,7 - În total acord,5,5,5,5,5,crearea testelor,diminuarea creativit['ii personale,nu stiu
06/12/2025 09:48:46,F,Gimnaziu (clasele V-IX),Informatica,Mai mult de 10 ani,Localitate urbană,5,5,5,6,5,5,5,6,5,6,6,6,5,6,7 - În total acord,6,5,5,5,7 - În total acord,7 - În total acord,6,7 - În total acord,6,6,7 - În total acord,6,5,7 - În total acord,7 - În total acord,6,7 - În total acord,6,7 - În total acord,6,5,7 - În total acord,6,"folosesc la generarea testelor pentru evaluări, generare de video scurte, prezentări",să nu fiu dependentă de AI,profesional
06/12/2025 09:51:00,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Fizica, Biologia, Chimia",Mai mult de 10 ani,Localitate urbană,7 - În total acord,7 - În total acord,7 - În total acord,4,4,4,3,2,4,4,7 - În total acord,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Fisa de evaluare la tema,riscul c[ elevii vor evita gindirea critica,sprijin tehnic constant in scoala
06/12/2025 09:51:05,F,Gimnaziu (clasele V-IX),Educația Plastică,Mai mult de 10 ani,Localitate urbană,7 - În total acord,4,5,4,3,4,5,3,3,3,3,2,3,3,2,7 - În total acord,6,6,6,7 - În total acord,5,5,5,4,4,5,4,4,7 - În total acord,7 - În total acord,5,4,4,6,5,5,5,5,Pregătirea de activitatea extracurriculară,Să devin dependentă,Cursurile de formare
06/12/2025 09:52:34,F,Gimnaziu (clasele V-IX),Educația Muzicală,Mai mult de 10 ani,Localitate rurală,3,3,3,3,2,2,2,2,2,3,2,3,2,2,3,4,5,6,6,6,5,5,6,7 - În total acord,5,4,5,3,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,5,3,4,5,7 - În total acord,laaudierea muzicii., exzersarea,
08/12/2025 09:16:48,F,Gimnaziu (clasele V-IX),"Limba Română, Matematica",Mai puțin de 1 an,Localitate urbană,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,7 - În total acord,5,4,4,5,5,5,4,5,5,5,4,5,4,4,5,5,4,,,
08/12/2025 09:18:07,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Matematica,Mai mult de 10 ani,Localitate rurală,5,5,5,4,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6,5,5,6,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,"Elaborarea testelor de laborator în evaluare sumativa pentru elevii de liceu, similare testelor de BAC",Nu am ,
08/12/2025 09:18:25,M,Gimnaziu (clasele V-IX),Geografia,Mai mult de 10 ani,Localitate urbană,4,4,5,3,3,3,4,4,5,4,5,4,4,3,5,5,4,5,5,4,4,5,5,7 - În total acord,5,7 - În total acord,7 - În total acord,5,4,5,4,5,4,5,5,4,5,4,,,
08/12/2025 09:18:51,F,Gimnaziu (clasele V-IX),"Fizica, Informatica, Geografia",5 - 10 ani,Localitate rurală,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,5,6,7 - În total acord,6,6,6,6,4,6,5,6,6,4,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,2,6,5,6,2,3,3,3,6,4,Propuneri de metode... Exemple de exerciții... ,Atrofierea gândirii critice la elevi ,Nici nu știu. 
08/12/2025 09:19:13,F,Primar (clasele I-IV),Limba Română,5 - 10 ani,Localitate urbană,2,4,7 - În total acord,4,3,3,4,4,3,3,4,4,3,2,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,1 - În total dezacord,4,4,4,3,4,2,7 - În total acord,7 - În total acord,7 - În total acord,6,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Predarea temei,,
08/12/2025 09:19:21,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Geografia,Mai mult de 10 ani,Localitate urbană,4,4,3,2,5,3,3,3,2,3,3,2,2,5,3,5,4,5,4,3,5,5,5,6,5,4,3,5,3,6,2,2,2,4,3,2,6,6,Realizarea de activități interactive,Apariția dependenței,Programe de instruire
08/12/2025 09:20:37,F,"Primar (clasele I-IV), Gimnaziu (clasele V-IX)",Limba Franceză,Mai mult de 10 ani,Localitate rurală,3,3,3,3,3,3,5,4,3,5,4,3,4,3,6,5,5,5,5,5,6,4,6,6,4,6,5,4,4,4,3,3,4,6,6,4,6,7 - În total acord,In crearea rezumatelor la unele activitati,Poate genera date eronate,Orice
08/12/2025 09:21:32,F,"Primar (clasele I-IV), Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Engleză,Mai mult de 10 ani,Localitate urbană,5,3,3,2,3,3,6,3,3,3,3,3,3,7 - În total acord,5,5,6,6,4,5,6,6,6,7 - În total acord,7 - În total acord,7 - În total acord,6,6,4,5,4,1 - În total dezacord,2,6,6,6,7 - În total acord,7 - În total acord,Grupa de elevi unde am elevi cu cerințe educaționale speciale ,Utilizarea continuă de către elevi ,"In predare, învățare și evaluarea activităților desfășurate."
08/12/2025 09:21:54,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Matematica, Informatica",Mai mult de 10 ani,Localitate rurală,7 - În total acord,5,5,7 - În total acord,6,5,5,6,5,5,6,5,6,6,7 - În total acord,6,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,6,2,2,2,5,5,6,5,5,2,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Am utilizat AI in lectiile de matematica,,
08/12/2025 09:22:24,F,Gimnaziu (clasele V-IX),"Limba Română, Istoria",Mai mult de 10 ani,Localitate rurală,6,7 - În total acord,7 - În total acord,4,5,6,5,5,5,5,5,4,5,5,7 - În total acord,7 - În total acord,7 - În total acord,6,6,7 - În total acord,5,4,5,5,4,5,5,1 - În total dezacord,5,6,5,5,7 - În total acord,7 - În total acord,7 - În total acord,6,6,7 - În total acord,Am structurat informații ,Corectitudinea răspunsurilor ,Aplicații noi 
08/12/2025 09:24:26,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Istoria,Mai mult de 10 ani,Localitate urbană,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,4,4,4,3,5,5,4,4,4,2,2,6,6,3,3,6,6,6,6,6,7 - În total acord,În verificarea eseurilor,Dețin informații insuficiente,Cât mai multe informații
08/12/2025 09:24:53,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Informatica,Mai mult de 10 ani,Localitate urbană,4,4,4,4,4,4,3,4,4,4,4,4,4,5,7 - În total acord,7 - În total acord,6,6,6,7 - În total acord,3,4,3,5,4,3,4,3,5,5,5,6,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Elaborarea sarcinilor de lucru,Nu sunt,toate sunt binevenite
08/12/2025 09:25:34,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Limba Franceză,Mai mult de 10 ani,Localitate urbană,6,5,3,4,5,3,2,1 - În total dezacord,2,5,4,2,2,6,7 - În total acord,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,6,6,6,6,6,5,7 - În total acord,7 - În total acord,4,2,1 - În total dezacord,2,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,"Am  creat fise de lucru, evaluări.","Realizează temele fara sa intre în esență, sau sa analizeze.",Cred că cursul de astăzi va fi perfect.
08/12/2025 09:26:00,F,Liceu (clasele X-XII),Limba Română,5 - 10 ani,Localitate rurală,3,6,6,2,6,4,5,7 - În total acord,7 - În total acord,6,5,5,5,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,1 - În total dezacord,6,4,4,7 - În total acord,7 - În total acord,6,6,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Am creat evaluări cu alegere multipla prin genini,Copierea la evaluări utilizând AI,Orice informație e importantă 
08/12/2025 09:26:03,M,Liceu (clasele X-XII),Geografia,Mai mult de 10 ani,Localitate urbană,3,5,6,4,3,4,3,3,4,4,6,4,3,3,5,7 - În total acord,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,5,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,7 - În total acord,Folosesc Notebook LM,Este nevoie de cursuri,Cursuri de formare.
08/12/2025 09:29:15,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Matematica,Mai mult de 10 ani,Localitate urbană,4,3,2,3,3,3,4,2,3,3,2,2,3,2,2,2,2,2,3,3,5,4,6,6,2,4,3,6,3,3,3,4,5,3,2,2,3,3,,,
08/12/2025 09:32:18,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)",Chimia,Mai mult de 10 ani,Localitate urbană,6,6,6,6,7 - În total acord,7 - În total acord,6,6,6,6,7 - În total acord,5,6,5,6,6,6,7 - În total acord,6,5,2,7 - În total acord,2,7 - În total acord,6,7 - În total acord,7 - În total acord,5,4,2,2,2,3,6,6,6,7 - În total acord,7 - În total acord,Elaborarea proiectelor,Atitudinea iresponsabilă a elevilor,Documente normative
08/12/2025 10:32:37,F,Liceu (clasele X-XII),Informatica,Mai mult de 10 ani,Localitate urbană,6,7 - În total acord,5,6,6,6,5,5,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,4,4,3,4,5,7 - În total acord,6,5,5,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,"Integrarea NotebookLM in cadrul lectiei, utilizatea Curipod in explicatea temei si feefback imediat, Gemini, ChatGpt in crearea fragmentelor de cod
","Halucinatiile, si Inteligenta persoanei de a recunoaste materia de calitate, atat pentru profesori cat si pentru elevi","Utilizez la ore, si caut experiente diseminate de alti utilizatori IA, "
08/12/2025 19:13:54,F,"Gimnaziu (clasele V-IX), Liceu (clasele X-XII)","Chimia, Informatica",Mai mult de 10 ani,Localitate rurală,6,6,6,6,6,7 - În total acord,7 - În total acord,6,6,4,5,6,6,6,6,6,5,5,5,6,4,6,5,6,5,3,5,6,6,6,4,5,6,7 - În total acord,7 - În total acord,6,7 - În total acord,7 - În total acord,Utilizez des la alcătuirea diferitor tipuri de itemi în baza cărora alcătuiesc jocuri educaționale.,Urmează să exersez la formularea prompturilor și greșelile științifice,Îl integrez deseori.
